yes, 1007.062500
no, 3251.000000
_unknown_, 6272.437500
_unknown_, 9060.625000
no, 12379.000000
yes, 16854.812500
_unknown_, 18426.125000
_unknown_, 22079.125000
no, 24538.187500
no, 28669.937500
_unknown_, 31520.500000
no, 33144.875000
_unknown_, 36123.625000
_unknown_, 40604.562500
_unknown_, 43904.312500
yes, 45309.562500
yes, 49628.750000
_unknown_, 52956.937500
yes, 55458.000000
yes, 58471.250000
no, 61096.125000
_unknown_, 64481.500000
no, 67839.687500
_unknown_, 70653.937500
yes, 72321.375000
_unknown_, 75122.500000
_unknown_, 79267.687500
_unknown_, 81619.750000
_unknown_, 85883.500000
yes, 87011.812500
no, 91491.500000
yes, 93409.375000
no, 97470.625000
yes, 99299.125000
no, 103569.875000
yes, 106231.937500
_unknown_, 109470.500000
yes, 112079.750000
yes, 115457.062500
yes, 118060.437500
no, 121238.250000
_unknown_, 123895.812500
_unknown_, 127206.937500
yes, 129812.375000
_unknown_, 132313.437500
yes, 135437.312500
yes, 138154.062500
no, 142515.875000
no, 145918.625000
_unknown_, 148628.312500
yes, 150347.000000
no, 154245.750000
no, 156896.375000
yes, 160843.375000
no, 162838.687500
no, 166538.062500
yes, 168620.125000
yes, 171821.062500
yes, 174709.375000
yes, 177547.500000
_unknown_, 180680.000000
yes, 183977.062500
no, 186842.000000
no, 189097.437500
_unknown_, 192867.312500
no, 196598.500000
_unknown_, 199051.062500
yes, 201069.125000
yes, 205987.437500
yes, 207949.500000
yes, 210010.500000
_unknown_, 213650.687500
no, 216112.937500
_unknown_, 219560.812500
no, 222564.125000
yes, 226547.062500
yes, 228239.375000
_unknown_, 232914.437500
no, 234178.875000
no, 237683.687500
_unknown_, 240008.875000
yes, 243980.437500
no, 247796.437500
no, 250314.187500
_unknown_, 253112.500000
no, 255270.875000
yes, 259321.000000
no, 261109.625000
_unknown_, 265504.937500
yes, 267911.125000
yes, 271657.875000
yes, 274072.312500
yes, 276822.125000
yes, 279541.750000
_unknown_, 283645.875000
yes, 285708.312500
yes, 288872.687500
no, 292152.562500
no, 294010.500000
yes, 297969.750000
